iter	MultiClass
131	0.5150726054
132	0.5144790174
133	0.5143867669
134	0.513997346
135	0.5133656866
136	0.512295822
137	0.5120768924
138	0.5116701517
139	0.5114108721
140	0.5113349232
141	0.51104037
142	0.5108648925
143	0.5101349577
144	0.5099842538
145	0.5099419582
146	0.5096935391
147	0.5091289557
148	0.5088628037
149	0.5085727822
150	0.5083557819
151	0.5082722865
152	0.5078212634
153	0.5075181033
154	0.5074069178
155	0.506863894
156	0.5067719994
157	0.5067187662
158	0.5056133932
159	0.505118942
160	0.5046427903
161	0.5042886907
162	0.5035733135
163	0.5034896348
164	0.5029355801
165	0.5028386738
166	0.5025862442
167	0.5022872367
168	0.5017989331
169	0.5012695534
170	0.501012484
171	0.5008657364
172	0.5007347491
173	0.5003610571
174	0.5002178545
175	0.5000433817
176	0.4990483667
177	0.498788895
178	0.4987442235
179	0.4982955317
180	0.4973800207
181	0.4972051812
182	0.4968507729
183	0.4958680072
184	0.4957025448
185	0.4954383465
186	0.4953904545
187	0.4945312446
188	0.4939463216
189	0.4936506855
190	0.4936107183
191	0.4932460427
192	0.4931777708
193	0.4926184612
194	0.4924709302
195	0.4921109349
196	0.4914715173
197	0.4912052373
198	0.4909171381
199	0.4908855979
200	0.4906969646
201	0.4903557958
202	0.4898064828
203	0.4895067134
204	0.4891075481
205	0.4890601496
206	0.4888368492
207	0.4885548432
208	0.4883472963
209	0.4878518676
210	0.4878091343
211	0.4874854858
212	0.4872510757
213	0.4869342445
214	0.4864982247
215	0.4860713798
216	0.485862888
217	0.48558129
218	0.4853343292
219	0.4851682434
220	0.4847654028
221	0.4846383902
222	0.4842760148
223	0.4837630075
224	0.4836101268
225	0.4832697188
226	0.4828217041
227	0.4825306576
228	0.4824076353
229	0.4820254107
230	0.4816884095
231	0.4815708133
232	0.4814369058
233	0.481210919
234	0.4810665873
235	0.4809831227
236	0.4807970299
237	0.4807318616
238	0.4804422292
239	0.480177621
240	0.479910599
241	0.479879986
242	0.4795680385
243	0.4792146306
244	0.4791565344
245	0.4791231476
246	0.4788944003
247	0.4784154946
248	0.4780643114
249	0.4777952327
250	0.4775843646
251	0.4775184531
252	0.4773751185
253	0.4772747954
254	0.4768932237
255	0.4765391961
256	0.4764273213
257	0.4760614378
258	0.4757741459
259	0.4756219721
260	0.4755160907
261	0.47540375
262	0.475275061
263	0.4749072799
264	0.4747283695
265	0.4743084294
266	0.4740221277
267	0.4735148454
268	0.4733804868
269	0.473203113
270	0.473172444
271	0.4727992365
272	0.4725397202
273	0.4721998168
274	0.4718066679
275	0.4716730111
276	0.471126485
277	0.4711078521
278	0.4708778683
279	0.470453531
280	0.4703628737
281	0.4699044268
282	0.4695029783
283	0.4691698473
284	0.4686709446
285	0.4686349859
286	0.4684362027
287	0.4681160346
288	0.4679363208
289	0.4677698254
290	0.4676740969
291	0.4674989363
292	0.467388874
293	0.4671534992
294	0.4664892784
295	0.4661652461
296	0.4661304687
297	0.4658968387
298	0.4655461191
299	0.4651061581
300	0.4649945048
301	0.4647519608
302	0.4646440276
303	0.4640709489
304	0.4639300701
305	0.463365171
306	0.4632595735
307	0.4630312292
308	0.4629560768
309	0.4626933173
310	0.4624049139
311	0.4621296973
312	0.4620698752
313	0.461473127
314	0.4613156253
315	0.460565257
316	0.4604243517
317	0.4602272938
318	0.4599715392
319	0.4598776913
320	0.4594293204
321	0.4594069708
322	0.4593151769
323	0.4592194146
324	0.4587875768
325	0.4587206279
326	0.4582920049
327	0.4582501564
328	0.4581423672
329	0.4579540222
330	0.457565195
331	0.4573161899
332	0.456904529
333	0.4564723296
334	0.4563518821
335	0.4561735859
336	0.4550024738
337	0.4547262035
338	0.4544784866
339	0.4543111727
340	0.4542053158
341	0.4540686668
342	0.4540471896
343	0.4539804754
344	0.4535881291
345	0.4534303109
346	0.4532133781
347	0.4529410787
348	0.4528084069
349	0.452536666
350	0.4524350373
351	0.4521486545
352	0.4519831027
353	0.4514717185
354	0.4512622491
355	0.4506902209
356	0.4505855958
357	0.4504952929
358	0.4502132418
359	0.4501209934
360	0.4499460918
361	0.4497815815
362	0.4494808828
363	0.4489371779
364	0.4485532723
365	0.4484654219
366	0.4483198938
367	0.4480862926
368	0.4477498271
369	0.4477069119
370	0.4475416371
371	0.4472043464
372	0.4470887695
373	0.4470007667
374	0.4469135859
375	0.4467797736
376	0.4466813214
377	0.4466108633
378	0.4464930733
379	0.4463557246
380	0.4462429625
381	0.4459524321
382	0.4457767974
383	0.4455628533
384	0.4454132783
385	0.4449605407
386	0.4447111879
387	0.4444421514
388	0.4442706167
389	0.4439332536
390	0.443507515
391	0.4432410478
392	0.4429511896
393	0.4427711281
394	0.4427450874
395	0.4422502193
396	0.442021063
397	0.4419842152
398	0.441868367
399	0.4418430714
400	0.4417916138
401	0.4415367111
402	0.4411313048
403	0.4405992863
404	0.4404114192
405	0.4403493612
406	0.4401335787
407	0.4399800295
408	0.4399007084
409	0.4398519339
410	0.4397311183
411	0.4395878561
412	0.4389916539
413	0.4389120965
414	0.4389005244
415	0.4388859301
416	0.4387582884
417	0.4387336857
418	0.4386192907
419	0.4384047003
420	0.4378621858
421	0.4375484361
422	0.4374167458
423	0.4372582419
424	0.4366649911
425	0.43657888
426	0.4364883669
427	0.4363510728
428	0.4361010888
429	0.4360082244
430	0.4357269233
431	0.4356478511
432	0.4355654368
433	0.4353039826
434	0.4350342072
435	0.4348059113
436	0.4347921544
437	0.4346389609
438	0.4342140532
439	0.4339031554
440	0.4338581141
441	0.4338226751
442	0.4335613936
443	0.4334170561
444	0.4332424622
445	0.4331633103
446	0.4331016375
447	0.4329567296
448	0.4326848478
449	0.4324946021
450	0.4323879952
451	0.4321963459
452	0.4320532189
453	0.4320333422
454	0.4320071626
455	0.4319454307
456	0.4317533168
457	0.431737491
458	0.4311578531
459	0.4310185321
460	0.430801571
461	0.4306384699
462	0.4301382176
463	0.4299646457
464	0.4298487138
465	0.4296652118
466	0.4293072651
467	0.4291543352
468	0.428959557
469	0.4287794335
470	0.4285043742
471	0.4282118483
472	0.4279162263
473	0.427618672
474	0.4275582514
475	0.4275256996
476	0.427463554
477	0.4268203467
478	0.426335176
479	0.4261882526
480	0.4260082204
481	0.4257914783
482	0.4254687996
483	0.4253757265
484	0.425285513
485	0.4251811853
486	0.4246730635
487	0.4243457647
488	0.423927624
489	0.4234694412
490	0.423217544
491	0.4231119857
492	0.4229599107
493	0.4228755824
494	0.42274255
495	0.4225996676
496	0.4223871413
497	0.4222238468
498	0.4222000163
499	0.4220752691
500	0.4220500976
501	0.422032401
502	0.421853527
503	0.4214604918
504	0.4212787063
505	0.4211511448
506	0.4210707087
507	0.4205242358
508	0.4199285157
509	0.4194009117
510	0.4190786448
511	0.4189614609
512	0.418847833
513	0.418721375
514	0.4184189069
515	0.4183052051
516	0.4180390007
517	0.4178139691
518	0.4175643184
519	0.4171799154
520	0.4171115465
521	0.4170547022
522	0.4170438156
523	0.4169991905
524	0.4169613815
525	0.4166579417
526	0.4165246071
527	0.4159852555
528	0.4159677012
529	0.415562818
530	0.415099259
531	0.4148418311
532	0.4146922456
533	0.4144909074
534	0.4143851597
535	0.4143066973
536	0.4142789434
537	0.4142322644
538	0.414080939
539	0.4139001608
540	0.4137070676
541	0.4135286716
542	0.4135069049
543	0.4134906724
544	0.4132615178
545	0.4129900612
546	0.4128784227
547	0.412735139
548	0.4124529445
549	0.4121966096
550	0.411883217
551	0.4116922287
552	0.4115898064
553	0.4115454464
554	0.4114172777
555	0.4112750386
556	0.4112406436
557	0.4112305138
558	0.4112122684
559	0.4107543355
560	0.4105242623
561	0.4103902795
562	0.4103178463
563	0.4099501362
564	0.409577696
565	0.4095677036
566	0.409313534
567	0.4091176427
568	0.4089804141
569	0.4087484735
570	0.4085043808
571	0.4084569657
572	0.4082193715
573	0.407919037
574	0.4076632269
575	0.4075471421
576	0.4072279933
577	0.4071963566
578	0.4069225838
579	0.4066493152
580	0.4062838208
581	0.4058411249
582	0.4055238544
583	0.405510165
584	0.4052375933
585	0.4050471183
586	0.4046389628
587	0.4046168529
588	0.4043182151
589	0.4038831309
590	0.4037576242
591	0.4034476621
592	0.4033213462
593	0.4032823272
594	0.4028134386
595	0.4026508991
596	0.4024146706
597	0.4021898126
598	0.4020732114
599	0.4018701765
600	0.4016790325
601	0.4015282264
602	0.4014342659
603	0.4013586254
604	0.4012233695
605	0.4011599443
606	0.4011237357
607	0.4009173167
608	0.400690484
609	0.4004777025
610	0.4003408656
611	0.4001720138
612	0.4000517156
613	0.3996682261
614	0.399594166
615	0.3994713918
616	0.3992264109
617	0.3989239183
618	0.3987335074
619	0.3983985092
620	0.3982416339
621	0.3981663026
622	0.3980946706
623	0.3979257211
624	0.3976324862
625	0.3974581713
626	0.3973117258
627	0.3970875323
628	0.396861744
629	0.3966865404
630	0.3965105641
631	0.3963312376
632	0.3960571222
633	0.3960444876
634	0.3959815878
635	0.395930392
636	0.3957189232
637	0.3953772053
638	0.3947177763
639	0.3944683812
640	0.3943415101
641	0.3941878405
642	0.3938842281
643	0.3938175385
644	0.3937868662
645	0.3935531415
646	0.3934159459
647	0.3931542889
648	0.3931389032
649	0.3929861454
650	0.3927834595
651	0.3927165823
652	0.3926885703
653	0.3924439525
654	0.3920064982
655	0.3918080238
656	0.3916745233
657	0.3914205545
658	0.3912085956
659	0.3908836305
660	0.3907698572
661	0.3906239739
662	0.3906055709
663	0.3904370167
664	0.3903950953
665	0.3902480572
666	0.3900251012
667	0.389971467
668	0.3897892681
669	0.3896362398
670	0.3894376306
671	0.3893289965
672	0.3891109134
673	0.3890064661
674	0.3888036135
675	0.3883001483
676	0.3881979506
677	0.3881123169
678	0.388069754
679	0.3879713532
680	0.3878903705
681	0.3877073246
682	0.3875970964
683	0.387343041
684	0.3872055933
685	0.3871641222
686	0.3867599706
687	0.3866880696
688	0.3864631153
689	0.3862370215
690	0.3862166016
691	0.3861015075
692	0.3858522179
693	0.3855772906
694	0.3854085541
695	0.385085406
696	0.3849810581
697	0.3845661529
698	0.3844211923
699	0.3843370463
700	0.3841476219
701	0.3840470972
702	0.3838769278
703	0.3837806956
704	0.3835291934
705	0.3835211361
706	0.3832409061
707	0.3831224156
708	0.3829140276
709	0.3827865037
710	0.3826411232
711	0.3825530476
712	0.3824851505
713	0.3824682402
714	0.3823909561
715	0.3822710332
716	0.3822222752
717	0.3820854178
718	0.3820368281
719	0.381875794
720	0.3817156599
721	0.3816591027
722	0.3815273871
723	0.3814272373
724	0.3813306696
725	0.3810619193
726	0.3809582562
727	0.3806751848
728	0.3805154809
729	0.3802155003
730	0.3801047825
731	0.3800205134
732	0.379741378
733	0.3795639647
734	0.3793091738
735	0.3791838637
736	0.3791006328
737	0.3790943316
738	0.3789374851
739	0.3786194697
740	0.3785406252
741	0.3781954718
742	0.3779488964
743	0.377899341
744	0.377785685
745	0.3774970517
746	0.3771920267
747	0.3770426033
748	0.3769788527
749	0.3767773601
750	0.3767313284
751	0.3765637376
752	0.3763635367
753	0.3762237879
754	0.3760660233
755	0.3757670568
756	0.375755502
757	0.375572199
758	0.3755084306
759	0.3753455069
760	0.3753281018
761	0.3751829927
762	0.3751184247
763	0.3748512362
764	0.3746334469
765	0.3745378979
766	0.3742286468
767	0.3739983144
768	0.3738648478
769	0.3737200661
770	0.3735365251
771	0.373447461
772	0.3733736816
773	0.37319244
774	0.373077938
775	0.3729371442
776	0.3726707364
777	0.3724164869
778	0.3721790279
779	0.3719922225
780	0.3718692067
781	0.3716788572
782	0.3715899419
783	0.3712719907
784	0.371265937
785	0.3710815084
786	0.370821686
787	0.3705329476
788	0.3702012955
789	0.3699700653
790	0.369686605
791	0.369516639
792	0.3690893676
793	0.369030623
794	0.3690042088
795	0.3689373165
796	0.3686977469
797	0.3686556138
798	0.3686182926
799	0.3682974643
800	0.3681662702
801	0.3681130882
802	0.3680085203
803	0.3678482275
804	0.3676966547
805	0.3674488238
806	0.3673041694
807	0.3671696703
808	0.3669815309
809	0.366730894
810	0.3666850905
811	0.3663597471
812	0.3660563726
813	0.3656397805
814	0.3654390512
815	0.3653052814
816	0.365210673
817	0.3651705772
818	0.3650761901
819	0.3649664344
820	0.364695515
821	0.3644854293
822	0.3644324987
823	0.3642652479
824	0.3636876201
825	0.3636454963
826	0.3634363658
827	0.3632994163
828	0.3631351145
829	0.3629530165
830	0.3627878549
831	0.3627720191
832	0.3625252804
833	0.3623055781
834	0.3622081159
835	0.3621997257
836	0.3620643634
837	0.3619901741
838	0.3618529053
839	0.3617377772
840	0.3614463814
841	0.3613563217
842	0.3612045923
843	0.3611619809
844	0.3611118373
845	0.3608231877
846	0.3606176794
847	0.3605240778
848	0.3602407636
849	0.3600500534
850	0.3599805402
851	0.3598120456
852	0.3595452652
853	0.3594969141
854	0.3592097211
855	0.3589554283
856	0.3587946195
857	0.3585522297
858	0.3584237774
859	0.3583054213
860	0.3579762339
861	0.357897435
862	0.3577660863
863	0.3575549241
864	0.3574459472
865	0.357161858
866	0.357068357
867	0.3568590296
868	0.3566257962
869	0.3564905984
870	0.3563393578
871	0.356256907
872	0.3561096882
873	0.3559111172
874	0.3557545862
875	0.3554650277
876	0.3552967917
877	0.3550515548
878	0.3547851386
879	0.3547422237
880	0.354663225
881	0.3543488554
882	0.3543004666
883	0.3542181156
884	0.354152708
885	0.3540650059
886	0.3539666903
887	0.3538983008
888	0.353628066
889	0.3534857123
890	0.3533279718
891	0.3532553816
892	0.3531525411
893	0.3530826582
894	0.3528969089
895	0.3527067513
896	0.3526087354
897	0.3523506227
898	0.3523149448
899	0.3521939318
900	0.3520116375
901	0.3518642383
902	0.3517793653
903	0.351526227
904	0.35140551
905	0.3513765435
906	0.3512425764
907	0.3509937009
908	0.3507155047
909	0.3505742857
910	0.3503476952
911	0.3500828598
912	0.3498811589
913	0.3496349516
914	0.3495516941
915	0.3492376847
916	0.349013301
917	0.3488110675
918	0.3487041565
919	0.3485964487
920	0.3483967598
921	0.3482830726
922	0.3481335908
